@ NAME             %10s "STR.IP8.B1"
@ TYPE             %04s "USER"
@ TITLE            %54s "Matching an insertion of the LHC 6.4 lattice with MADX"
@ ORIGIN           %19s "MAD-X 4.00.19 Linux"
@ DATE             %08s "05/05/09"
@ TIME             %08s "11.32.41"
*                  N           KQ4.L8B1           KQ5.L8B1           KQ6.L8B1           KQ7.L8B1           KQ8.L8B1           KQ9.L8B1          KQ10.L8B1        KQTL11.L8B1         KQT12.L8B1         KQT13.L8B1           KQ4.R8B1           KQ5.R8B1           KQ6.R8B1           KQ7.R8B1           KQ8.R8B1           KQ9.R8B1          KQ10.R8B1        KQTL11.R8B1         KQT12.R8B1         KQT13.R8B1           BETA.IP8                TAR 
$                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
                 22    -0.002664467318      0.00387743872   -0.0008545957167     0.008048535491    -0.008556921211     0.007648165709    -0.008090924359     0.000534853591    0.0006297911231     0.005563762921     0.003222681773    -0.003079521316     0.005442223294    -0.008532217359     0.007142288099    -0.007263627982     0.007474531745    -0.005473993158    -0.001853461004   -0.0004669703919       0.9847709022    6.509203442e-25
                 23    -0.002652971979     0.003814450634   -0.0007419909117     0.008143937115    -0.008556984477     0.007635930635    -0.008054734735    0.0005002992878    0.0004009027888     0.005563861576     0.003162051174    -0.003061971492     0.005590299107    -0.008532174033     0.007248479329    -0.007302835345     0.007451989633    -0.004939387402    -0.002052100757    -0.000861427955        0.886293812    7.483480464e-26
                 24    -0.002642919852     0.003753959223    -0.000658859137     0.008252945757    -0.008564795754     0.007621012097    -0.007987579164    0.0004478008392    0.0002746530453     0.005564103205     0.003113695089    -0.003043414338     0.005738766381    -0.008563573905     0.007327634008    -0.007336195424     0.007434131221    -0.004561765928    -0.002207609394    -0.001112775053       0.7976644308    1.044967003e-24
                 25    -0.002631190861     0.003692559964    -0.000608080823     0.008377991534    -0.008564874682     0.007603547631    -0.007900564982    0.0003860875252    0.0001708877573     0.005564312219     0.003065481852    -0.003027830471     0.005911524409    -0.008563410989     0.007418625528    -0.007390507132     0.007414104046    -0.004105465966    -0.002415155839    -0.001379748079       0.7178979877    1.110972533e-24
                 26    -0.002620438099     0.003634018902   -0.0005672251756     0.008512964909    -0.008564990436     0.007584646904    -0.007799869477    0.0003154921963    0.0001173843016     0.005564574771     0.003023319683    -0.003012836244     0.006094189586    -0.008563280644     0.007497761368    -0.007450889413      0.00739601635    -0.003708226071    -0.002618408299    -0.001584666121       0.6461081889    2.624395588e-25
                 27    -0.002631511149      0.00361543003    5.525647177e-05     0.008557611277    -0.008556193425     0.007613039008    -0.008069819059    0.0003891501404    0.0003080389318     0.005564896414     0.003001895788    -0.003009351215     0.006206370622    -0.008562880094     0.007469311182     -0.00750665023     0.007376384889    -0.003299439093    -0.002995711423    -0.001817688179         0.58149737    2.138980401e-24
                 28    -0.002650548913      0.00361360679    0.0009418658929     0.008558325018    -0.008555920611     0.007655490468    -0.008462594742    0.0005029004884     0.000635987991     0.005565280546     0.002987598769    -0.003007884064     0.006290327166    -0.008562761349     0.007404322656    -0.007556165176     0.007357147626    -0.002910351466    -0.003427746479    -0.002031780683        0.523347633    1.808960187e-24
                 29    -0.002659132799     0.003610739991     0.001430777181     0.008560250659     -0.00855811943     0.007677695962    -0.008462588133    0.0003888877908     0.002925892955     0.005566719351     0.002968699851     -0.00300734493     0.006406181204    -0.008560139491     0.007404783538     -0.00776589921     0.007364741442    -0.002928489216    -0.003702812412    -0.002122724851       0.4710128697    2.689307421e-24
                 30    -0.002662704296     0.003605443585     0.001854914128     0.008563180743    -0.008560266012     0.007703802003    -0.008465463392    0.0002586776107     0.005484287475     0.005566729129     0.002953489812    -0.003005809284     0.006509265304    -0.008559673836     0.007393191086    -0.007992406965     0.007380736566     -0.00314616853    -0.003899864405    -0.002161872697       0.4239115828     1.85508639e-24
                 31    -0.002662704296     0.003605443585     0.001854914128     0.008563180743    -0.008560266012     0.007703802003    -0.008465463392    0.0002586776107     0.005484287475     0.005566729129     0.002953489812    -0.003005809284     0.006509265304    -0.008559673836     0.007393191086    -0.007992406965     0.007380736566     -0.00314616853    -0.003899864405    -0.002161872697       0.3815204245       0.0035940206
