@ NAME             %03s "MON"
@ TYPE             %03s "MON"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                            X.OLD              Y.OLD                  X                  Y 
$ %s                                %le                %le                %le                %le 
 "BPMR.5R2.B1"           0.001463465913                  0   -6.957298524e-10                  0
 "BPM.6R2.B1"             0.00146431586                  0   -7.345497579e-08                  0
 "BPM_A.7R2.B1"         0.0008404872866                  0     4.92165891e-08                  0
 "BPM.8R2.B1"           -8.58980928e-05                  0    5.931720953e-07                  0
 "BPM.9R2.B1"          -0.0006815943674                  0   -9.706498822e-07                  0
 "BPM.10R2.B1"          -0.002472494065                  0   -4.804144613e-06                  0
 "BPM.11R2.B1"         -0.0004900621729                  0    1.440437138e-05                  0
 "BPM.12R2.B1"           0.001274383342                  0    8.573167725e-07                  0
 "BPM.13R2.B1"          0.0009795061372                  0    -1.39415497e-05                  0
 "BPM.14R2.B1"           0.001989451351                  0    3.608788596e-06                  0
 "BPM.15R2.B1"          0.0003142203765                  0    1.561224344e-06                  0
 "BPM.16R2.B1"          -0.001211809495                  0   -9.480210952e-06                  0
 "BPM.17R2.B1"         -0.0008822666109                  0    2.790543064e-05                  0
 "BPM.18R2.B1"          -0.001755542912                  0   -1.685673557e-05                  0
 "BPM.19R2.B1"         -0.0001530962582                  0    2.798779681e-05                  0
 "BPM.20R2.B1"           0.001360116462                  0   -1.822083816e-05                  0
 "BPM.21R2.B1"          0.0008051172162                  0    3.165520728e-05                  0
 "BPM.22R2.B1"           0.001035396127                  0   -1.559503935e-05                  0
 "BPM.23R2.B1"         -8.967363524e-05                  0    2.072350122e-05                  0
 "BPM.24R2.B1"          -0.001604251522                  0   -1.256258599e-05                  0
 "BPM.25R2.B1"         -0.0007335359264                  0    2.149547637e-05                  0
 "BPM.26R2.B1"         -0.0007770409215                  0   -1.986061595e-05                  0
 "BPM.27R2.B1"          0.0002353297553                  0    4.073000699e-05                  0
 "BPM.28R2.B1"           0.001530041408                  0   -4.562906455e-06                  0
 "BPM.29R2.B1"            0.00054357227                  0   -2.109682746e-05                  0
 "BPM.30R2.B1"           0.000169788094                  0    1.183487568e-05                  0
 "BPM.31R2.B1"         -0.0003811353953                  0   -1.798309013e-05                  0
 "BPM.32R2.B1"          -0.001415973343                  0     8.04879982e-06                  0
 "BPM.33R2.B1"         -0.0005065226418                  0   -8.074644022e-06                  0
