@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBCV.A5R2.B1"                      0                  0                  0    4.011551663e-05
 "MCBCH.5R2.B1"                       0                  0                  0                  0
 "MCBCV.B5R2.B1"                      0                  0                  0   -1.385905687e-05
 "MCBCH.6R2.B1"                       0                  0                  0                  0
 "MCBCV.7R2.B1"                       0                  0                  0   -1.461750003e-09
 "MCBCH.8R2.B1"                       0                  0                  0                  0
 "MCBCV.9R2.B1"                       0                  0                  0    9.721247807e-09
 "MCBCH.10R2.B1"                      0                  0                  0                  0
 "MCBV.11R2.B1"                       0                  0                  0    1.414502156e-06
 "MCBH.12R2.B1"                       0                  0                  0                  0
 "MCBV.13R2.B1"                       0                  0                  0   -4.686418106e-07
 "MCBH.14R2.B1"                       0                  0                  0                  0
 "MCBV.15R2.B1"                       0                  0                  0    -6.07765629e-07
 "MCBH.16R2.B1"                       0                  0                  0                  0
 "MCBV.17R2.B1"                       0                  0                  0    1.083876588e-06
 "MCBH.18R2.B1"                       0                  0                  0                  0
 "MCBV.19R2.B1"                       0                  0                  0   -1.543130609e-06
 "MCBH.20R2.B1"                       0                  0                  0                  0
 "MCBV.21R2.B1"                       0                  0                  0   -2.143385122e-06
 "MCBH.22R2.B1"                       0                  0                  0                  0
 "MCBV.23R2.B1"                       0                  0                  0   -5.716724787e-06
 "MCBH.24R2.B1"                       0                  0                  0                  0
 "MCBV.25R2.B1"                       0                  0                  0   -5.184354726e-06
 "MCBH.26R2.B1"                       0                  0                  0                  0
 "MCBV.27R2.B1"                       0                  0                  0    2.603745088e-06
 "MCBH.28R2.B1"                       0                  0                  0                  0
 "MCBV.29R2.B1"                       0                  0                  0   -3.234155243e-06
 "MCBH.30R2.B1"                       0                  0                  0                  0
 "MCBV.31R2.B1"                       0                  0                  0   -8.936587255e-07
 "MCBH.32R2.B1"                       0                  0                  0                  0
 "MCBV.33R2.B1"                       0                  0                  0    5.304145161e-07
 "MCBH.34L3.B1"                       0                  0                  0                  0
 "MCBV.33L3.B1"                       0                  0                  0    3.154476173e-06
 "MCBH.32L3.B1"                       0                  0                  0                  0
 "MCBV.31L3.B1"                       0                  0                  0   -3.130711615e-06
 "MCBH.30L3.B1"                       0                  0                  0                  0
 "MCBV.29L3.B1"                       0                  0                  0    4.483946599e-06
 "MCBH.28L3.B1"                       0                  0                  0                  0
 "MCBV.27L3.B1"                       0                  0                  0    -1.05704728e-06
 "MCBH.26L3.B1"                       0                  0                  0                  0
 "MCBV.25L3.B1"                       0                  0                  0   -1.596536255e-06
 "MCBH.24L3.B1"                       0                  0                  0                  0
 "MCBV.23L3.B1"                       0                  0                  0    4.484955687e-06
 "MCBH.22L3.B1"                       0                  0                  0                  0
 "MCBV.21L3.B1"                       0                  0                  0    2.462376142e-06
 "MCBH.20L3.B1"                       0                  0                  0                  0
 "MCBV.19L3.B1"                       0                  0                  0    3.991516307e-06
 "MCBH.18L3.B1"                       0                  0                  0                  0
 "MCBV.17L3.B1"                       0                  0                  0    3.604444442e-06
 "MCBH.16L3.B1"                       0                  0                  0                  0
 "MCBV.15L3.B1"                       0                  0                  0   -1.651314087e-06
 "MCBH.14L3.B1"                       0                  0                  0                  0
 "MCBV.13L3.B1"                       0                  0                  0    1.263038372e-06
 "MCBH.12L3.B1"                       0                  0                  0                  0
 "MCBV.11L3.B1"                       0                  0                  0   -1.104694325e-06
 "MCBCH.10L3.B1"                      0                  0                  0                  0
 "MCBCV.9L3.B1"                       0                  0                  0    4.409424728e-07
 "MCBCH.8L3.B1"                       0                  0                  0                  0
 "MCBCV.7L3.B1"                       0                  0                  0   -1.025163569e-06
 "MCBCH.6L3.B1"                       0                  0                  0                  0
 "MCBWV.5L3.B1"                       0                  0                  0     5.08867779e-08
 "MCBWH.4L3.B1"                       0                  0                  0                  0
 "MCBWV.4R3.B1"                       0                  0                  0    2.629411938e-08
 "MCBWH.5R3.B1"                       0                  0                  0                  0
 "MCBCV.6R3.B1"                       0                  0                  0   -8.110825438e-07
 "MCBCH.7R3.B1"                       0                  0                  0                  0
 "MCBCV.8R3.B1"                       0                  0                  0   -2.076233272e-06
 "MCBCH.9R3.B1"                       0                  0                  0                  0
 "MCBCV.10R3.B1"                      0                  0                  0    3.631832777e-06
 "MCBH.11R3.B1"                       0                  0                  0                  0
 "MCBV.12R3.B1"                       0                  0                  0    1.612490887e-07
 "MCBH.13R3.B1"                       0                  0                  0                  0
 "MCBV.14R3.B1"                       0                  0                  0    6.789951003e-07
 "MCBH.15R3.B1"                       0                  0                  0                  0
 "MCBV.16R3.B1"                       0                  0                  0   -1.799278078e-06
 "MCBH.17R3.B1"                       0                  0                  0                  0
 "MCBV.18R3.B1"                       0                  0                  0    2.060832456e-06
 "MCBH.19R3.B1"                       0                  0                  0                  0
 "MCBV.20R3.B1"                       0                  0                  0    1.860283432e-06
 "MCBH.21R3.B1"                       0                  0                  0                  0
 "MCBV.22R3.B1"                       0                  0                  0    1.334926579e-06
 "MCBH.23R3.B1"                       0                  0                  0                  0
 "MCBV.24R3.B1"                       0                  0                  0    1.894429559e-06
 "MCBH.25R3.B1"                       0                  0                  0                  0
 "MCBV.26R3.B1"                       0                  0                  0   -1.639726222e-06
 "MCBH.27R3.B1"                       0                  0                  0                  0
 "MCBV.28R3.B1"                       0                  0                  0    -2.43585906e-06
 "MCBH.29R3.B1"                       0                  0                  0                  0
 "MCBV.30R3.B1"                       0                  0                  0   -2.810752252e-06
 "MCBH.31R3.B1"                       0                  0                  0                  0
 "MCBV.32R3.B1"                       0                  0                  0   -3.027229104e-06
 "MCBH.33R3.B1"                       0                  0                  0                  0
 "MCBV.34L4.B1"                       0                  0                  0    8.132743533e-07
 "MCBH.33L4.B1"                       0                  0                  0                  0
 "MCBV.32L4.B1"                       0                  0                  0   -5.740773398e-06
 "MCBH.31L4.B1"                       0                  0                  0                  0
 "MCBV.30L4.B1"                       0                  0                  0   -3.949397709e-06
 "MCBH.29L4.B1"                       0                  0                  0                  0
 "MCBV.28L4.B1"                       0                  0                  0   -8.563242154e-07
 "MCBH.27L4.B1"                       0                  0                  0                  0
 "MCBV.26L4.B1"                       0                  0                  0    4.405654501e-06
 "MCBH.25L4.B1"                       0                  0                  0                  0
 "MCBV.24L4.B1"                       0                  0                  0   -2.167719649e-06
 "MCBH.23L4.B1"                       0                  0                  0                  0
 "MCBV.22L4.B1"                       0                  0                  0   -3.394482424e-06
 "MCBH.21L4.B1"                       0                  0                  0                  0
 "MCBV.20L4.B1"                       0                  0                  0   -3.058854956e-06
 "MCBH.19L4.B1"                       0                  0                  0                  0
 "MCBV.18L4.B1"                       0                  0                  0    5.766767543e-06
 "MCBH.17L4.B1"                       0                  0                  0                  0
 "MCBV.16L4.B1"                       0                  0                  0     2.89698923e-06
 "MCBH.15L4.B1"                       0                  0                  0                  0
 "MCBV.14L4.B1"                       0                  0                  0   -1.903605298e-06
 "MCBH.13L4.B1"                       0                  0                  0                  0
 "MCBV.12L4.B1"                       0                  0                  0   -4.805659875e-06
 "MCBH.11L4.B1"                       0                  0                  0                  0
 "MCBCV.10L4.B1"                      0                  0                  0   -2.151416084e-08
 "MCBCH.9L4.B1"                       0                  0                  0                  0
 "MCBCV.8L4.B1"                       0                  0                  0    1.707456022e-09
 "MCBCH.7L4.B1"                       0                  0                  0                  0
 "MCBYV.6L4.B1"                       0                  0                  0    1.942136265e-10
 "MKQA.6L4.B1"                        0                  0                  0   -4.297615135e-10
 "MCBYH.5L4.B1"                       0                  0                  0                  0
 "MU.A5R4.B1"                         0                  0                  0                  0
 "MU.B5R4.B1"                         0                  0                  0                  0
 "MU.C5R4.B1"                         0                  0                  0                  0
 "MU.D5R4.B1"                         0                  0                  0                  0
 "MCBYV.5R4.B1"                       0                  0                  0    9.389299294e-10
 "MCBYH.6R4.B1"                       0                  0                  0                  0
 "MCBCV.7R4.B1"                       0                  0                  0   -1.342971154e-08
 "MCBCH.8R4.B1"                       0                  0                  0                  0
 "MCBCV.9R4.B1"                       0                  0                  0    8.805133984e-08
 "MCBCH.10R4.B1"                      0                  0                  0                  0
 "MCBV.11R4.B1"                       0                  0                  0    6.182042998e-07
 "MCBH.12R4.B1"                       0                  0                  0                  0
 "MCBV.13R4.B1"                       0                  0                  0     1.22588675e-06
 "MCBH.14R4.B1"                       0                  0                  0                  0
 "MCBV.15R4.B1"                       0                  0                  0    2.396136988e-06
 "MCBH.16R4.B1"                       0                  0                  0                  0
 "MCBV.17R4.B1"                       0                  0                  0    4.069742281e-06
 "MCBH.18R4.B1"                       0                  0                  0                  0
 "MCBV.19R4.B1"                       0                  0                  0   -6.560932961e-07
 "MCBH.20R4.B1"                       0                  0                  0                  0
 "MCBV.21R4.B1"                       0                  0                  0    1.832714188e-07
 "MCBH.22R4.B1"                       0                  0                  0                  0
 "MCBV.23R4.B1"                       0                  0                  0   -1.907627098e-06
 "MCBH.24R4.B1"                       0                  0                  0                  0
 "MCBV.25R4.B1"                       0                  0                  0   -3.914928529e-06
 "MCBH.26R4.B1"                       0                  0                  0                  0
 "MCBV.27R4.B1"                       0                  0                  0   -3.279490164e-06
 "MCBH.28R4.B1"                       0                  0                  0                  0
 "MCBV.29R4.B1"                       0                  0                  0    2.022265689e-07
 "MCBH.30R4.B1"                       0                  0                  0                  0
 "MCBV.31R4.B1"                       0                  0                  0    2.114536241e-06
 "MCBH.32R4.B1"                       0                  0                  0                  0
 "MCBV.33R4.B1"                       0                  0                  0    6.979133468e-07
 "MCBH.34L5.B1"                       0                  0                  0                  0
 "MCBV.33L5.B1"                       0                  0                  0   -2.154514194e-06
 "MCBH.32L5.B1"                       0                  0                  0                  0
 "MCBV.31L5.B1"                       0                  0                  0   -2.613207325e-06
 "MCBH.30L5.B1"                       0                  0                  0                  0
 "MCBV.29L5.B1"                       0                  0                  0   -4.149834625e-06
 "MCBH.28L5.B1"                       0                  0                  0                  0
 "MCBV.27L5.B1"                       0                  0                  0    1.949963393e-06
 "MCBH.26L5.B1"                       0                  0                  0                  0
 "MCBV.25L5.B1"                       0                  0                  0    1.720190485e-07
 "MCBH.24L5.B1"                       0                  0                  0                  0
 "MCBV.23L5.B1"                       0                  0                  0   -5.309511325e-07
 "MCBH.22L5.B1"                       0                  0                  0                  0
 "MCBV.21L5.B1"                       0                  0                  0   -2.702385536e-07
 "MCBH.20L5.B1"                       0                  0                  0                  0
 "MCBV.19L5.B1"                       0                  0                  0    1.454419456e-06
 "MCBH.18L5.B1"                       0                  0                  0                  0
 "MCBV.17L5.B1"                       0                  0                  0   -8.661146858e-07
 "MCBH.16L5.B1"                       0                  0                  0                  0
 "MCBV.15L5.B1"                       0                  0                  0    -1.69930252e-07
 "MCBH.14L5.B1"                       0                  0                  0                  0
 "MCBV.13L5.B1"                       0                  0                  0   -2.259534784e-06
 "MCBH.12L5.B1"                       0                  0                  0                  0
 "MCBV.11L5.B1"                       0                  0                  0   -1.110239537e-06
 "MCBCH.10L5.B1"                      0                  0                  0                  0
 "MCBCV.9L5.B1"                       0                  0                  0    7.263768202e-08
 "MCBCH.8L5.B1"                       0                  0                  0                  0
 "MCBCV.7L5.B1"                       0                  0                  0   -8.733586583e-09
 "MCBCH.6L5.B1"                       0                  0                  0                  0
 "MCBCV.5L5.B1"                       0                  0                  0    4.582612291e-09
 "MCBYH.B4L5.B1"                      0                  0                  0                  0
 "MCBYV.4L5.B1"                       0                  0                  0   -2.102774715e-09
 "MCBYH.A4L5.B1"                      0                  0                  0                  0
 "MCBXH.3L5"                          0                  0                  0                  0
 "MCBXV.3L5"                          0                  0                  0   -1.373535542e-08
 "MCBXH.2L5"                          0                  0                  0                  0
 "MCBXV.2L5"                          0                  0                  0    5.074631918e-08
 "MCBXH.1L5"                          0                  0                  0                  0
 "MCBXV.1L5"                          0                  0                  0   -2.576280349e-08
 "MCBXH.1R5"                          0                  0                  0                  0
 "MCBXV.1R5"                          0                  0                  0   -3.889321761e-09
 "MCBXH.2R5"                          0                  0                  0                  0
 "MCBXV.2R5"                          0                  0                  0     4.45456044e-09
 "MCBXH.3R5"                          0                  0                  0                  0
 "MCBXV.3R5"                          0                  0                  0   -2.095336868e-09
 "MCBYV.A4R5.B1"                      0                  0                  0    1.705980867e-08
 "MCBYH.4R5.B1"                       0                  0                  0                  0
 "MCBYV.B4R5.B1"                      0                  0                  0    -1.85700228e-08
 "MCBCH.5R5.B1"                       0                  0                  0                  0
 "MCBCV.6R5.B1"                       0                  0                  0     1.47863866e-08
 "MCBCH.7R5.B1"                       0                  0                  0                  0
 "MCBCV.8R5.B1"                       0                  0                  0   -8.997413534e-08
 "MCBCH.9R5.B1"                       0                  0                  0                  0
 "MCBCV.10R5.B1"                      0                  0                  0    7.760444423e-07
 "MCBH.11R5.B1"                       0                  0                  0                  0
 "MCBV.12R5.B1"                       0                  0                  0   -1.391821279e-07
 "MCBH.13R5.B1"                       0                  0                  0                  0
 "MCBV.14R5.B1"                       0                  0                  0   -1.283268677e-06
 "MCBH.15R5.B1"                       0                  0                  0                  0
 "MCBV.16R5.B1"                       0                  0                  0   -1.262619277e-06
 "MCBH.17R5.B1"                       0                  0                  0                  0
 "MCBV.18R5.B1"                       0                  0                  0    3.169277334e-07
 "MCBH.19R5.B1"                       0                  0                  0                  0
 "MCBV.20R5.B1"                       0                  0                  0    7.852375275e-07
 "MCBH.21R5.B1"                       0                  0                  0                  0
 "MCBV.22R5.B1"                       0                  0                  0    1.144509413e-06
 "MCBH.23R5.B1"                       0                  0                  0                  0
 "MCBV.24R5.B1"                       0                  0                  0   -5.489003379e-06
 "MCBH.25R5.B1"                       0                  0                  0                  0
 "MCBV.26R5.B1"                       0                  0                  0   -4.994749092e-06
 "MCBH.27R5.B1"                       0                  0                  0                  0
 "MCBV.28R5.B1"                       0                  0                  0    3.697893349e-06
 "MCBH.29R5.B1"                       0                  0                  0                  0
 "MCBV.30R5.B1"                       0                  0                  0    4.762617871e-06
 "MCBH.31R5.B1"                       0                  0                  0                  0
 "MCBV.32R5.B1"                       0                  0                  0   -2.814020729e-06
 "MCBH.33R5.B1"                       0                  0                  0                  0
 "MCBV.34L6.B1"                       0                  0                  0    7.419427275e-07
 "MCBH.33L6.B1"                       0                  0                  0                  0
 "MCBV.32L6.B1"                       0                  0                  0   -4.537884961e-07
 "MCBH.31L6.B1"                       0                  0                  0                  0
 "MCBV.30L6.B1"                       0                  0                  0   -3.144379589e-07
 "MCBH.29L6.B1"                       0                  0                  0                  0
 "MCBV.28L6.B1"                       0                  0                  0    -2.92087812e-06
 "MCBH.27L6.B1"                       0                  0                  0                  0
 "MCBV.26L6.B1"                       0                  0                  0    1.188966911e-06
 "MCBH.25L6.B1"                       0                  0                  0                  0
 "MCBV.24L6.B1"                       0                  0                  0   -3.258466022e-06
 "MCBH.23L6.B1"                       0                  0                  0                  0
 "MCBV.22L6.B1"                       0                  0                  0    4.702160601e-06
 "MCBH.21L6.B1"                       0                  0                  0                  0
 "MCBV.20L6.B1"                       0                  0                  0   -1.721111475e-06
 "MCBH.19L6.B1"                       0                  0                  0                  0
 "MCBV.18L6.B1"                       0                  0                  0   -5.717927124e-07
 "MCBH.17L6.B1"                       0                  0                  0                  0
 "MCBV.16L6.B1"                       0                  0                  0   -1.684361137e-06
 "MCBH.15L6.B1"                       0                  0                  0                  0
 "MCBV.14L6.B1"                       0                  0                  0   -5.673511769e-07
 "MCBH.13L6.B1"                       0                  0                  0                  0
