@ NAME             %02s "T2"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "11.52.11"
* NAME                             C111               C566               C556 
$ %s                                %le                %le                %le 
 "CHICANE$START"                      0                  0                  0
 "SEDFT"                              0      3.8845538e-05                  0
 "BEND1"                              0     0.008692838531       0.5800655862
 "MIDDFT1"                            0       0.3070479672      -0.5358704262
 "QF1"                  -0.004151630487       0.3649260802      -0.9311851012
 "MIDDFT2"               -0.06007760567        1.038909622       -5.448117248
 "QD"                    -0.08322130851        1.183763397       -6.497505225
 "MIDDFT2"                -0.1746773402        1.449040146       -8.680075358
 "QF2"                    -0.1729971085        1.500433293       -9.045613902
 "MIDDFT1"                0.04549364696        1.623387851       -9.490608868
 "BEND2"                   0.2943328339        2.191298644       -13.78302782
 "SEDFT"                   0.4945728407        2.942646588       -15.06566065
 "THEEND"                  0.4945728407        2.942646588       -15.06566065
 "CHICANE$END"             0.4945728407        2.942646588       -15.06566065
