@ NAME             %02s "R1"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 4.01.36 Linux"
@ DATE             %08s "07/01/11"
@ TIME             %08s "11.52.11"
* NAME                              C11                C12                C21                C22 
$ %s                                %le                %le                %le                %le 
 "CHICANE$START"                      1                  0                  0                  1
 "SEDFT"                              1                1.2                  0                  1
 "BEND1"                     0.85480003        2.944461582                  0        1.169859232
 "MIDDFT1"                   0.85480003        4.700543251                  0        1.169859232
 "QF1"                     0.7424571882        4.306635735       -1.096473613       -5.013227194
 "MIDDFT2"                0.08197539415        1.286942031       -1.096473613       -5.013227194
 "QD"                     -0.1365724813       0.4131619249       -1.132369138       -3.897606885
 "MIDDFT2"                -0.8169209031       -1.928569106       -1.132369138       -3.897606885
 "QF2"                    -0.9264815301       -2.421500089      0.06255290464      -0.9160635251
 "MIDDFT1"                -0.8326096189        -3.79630403      0.06255290464      -0.9160635251
 "BEND2"                  -0.5933559961       -4.982860154       0.0730521758       -1.071335182
 "SEDFT"                  -0.5056409719       -6.269335207       0.0730521758       -1.071335182
 "THEEND"                 -0.5056409719       -6.269335207       0.0730521758       -1.071335182
 "CHICANE$END"            -0.5056409719       -6.269335207       0.0730521758       -1.071335182
