@ NAME             %07s "ROTATIONS"
@ TYPE             %07s "ROTATIONS"
@ TITLE            %11s "magnet rotations"
@ ORIGIN           %16s "MAD-X 2.12 Linux"
@ DATE             %08s "24/05/07"
@ TIME             %08s "15.00.00"
* NAME          YROTA      SROTA      INOUT
$ %s            %le        %le        %le
not found       -1         -1         -1
MS.29L3         0          0          2
MO.28L3         0          0          2
MSS.28L3        0          0          2
MQS.27L3        0          0          2
MS.27L3         0          0          2
MO.26L3         0          0          2
MS.26L3         0          0          2
MO.25L3         0          0          2
MS.25L3         0          0          2
MO.24L3         0          0          2
MS.24L3         0          0          2
MQS.23L3        0          0          2
MS.23L3         0          0          2
MO.22L3         0          0          2
MS.22L3         0          0          2
MQT.21L3        0          0          2
MS.21L3         0          0          2
MQT.20L3        0          0          2
MS.20L3         0          0          2
MQT.19L3        0          0          2
MS.19L3         0          0          2
MQT.18L3        0          0          2
MS.18L3         0          0          2
MQT.17L3        0          0          2
MS.17L3         0          0          2
MQT.16L3        0          0          2
MS.16L3         0          0          2
MQT.15L3        0          0          2
MS.15L3         0          0          2
MQT.14L3        0          0          2
MS.14L3         0          0          2
MQT.13L3        0          0          2
MS.13L3         0          0          2
MQT.12L3        0          0          2
MS.12L3         0          0          2
MQTLI.11L3      180        0          2
MCBH.11L3       180        0          2
MCBV.11L3       180        0          2
MS.11L3         0          0          2
MQTLI.10L3      180        0          2
MQTLI.B9L3      180        0          2
MQTLI.A9L3      180        0          2
MQTLI.8L3       180        0          2
MQTLI.7L3       180        0          2
MQTLH.F6L3      0          0          2
MQTLH.E6L3      0          0          2
MQTLH.D6L3      0          0          2
MQTLH.C6L3      0          0          2
MQTLH.B6L3      0          0          2
MQTLH.A6L3      0          0          2
MBW.F6L3        0          0          2
MBW.E6L3        0          0          2
MBW.D6L3        0          0          2
MBW.C6L3        180        0          2
MBW.B6L3        180        0          2
MBW.A6L3        180        0          2
MQWA.E5L3       0          0          2
MQWA.D5L3       0          0          2
MQWA.C5L3       180        0          2
MQWB.5L3        180        0          2
MQWA.B5L3       180        0          2
MQWA.A5L3       180        0          2
MQWA.E4L3       0          0          2
MQWA.D4L3       180        0          2
MQWA.C4L3       180        0          2
MQWB.4L3        180        0          2
MQWA.B4L3       180        0          2
MQWA.A4L3       180        0          2
MQWA.A4R3       0          0          2
MQWA.B4R3       0          0          2
MQWB.4R3        0          0          2
MQWA.C4R3       0          0          2
MQWA.D4R3       0          0          2
MQWA.E4R3       180        0          2
MQWA.A5R3       0          0          2
MQWA.B5R3       0          0          2
MQWB.5R3        0          0          2
MQWA.C5R3       0          0          2
MQWA.D5R3       180        0          2
MQWA.E5R3       180        0          2
MBW.A6R3        0          0          2
MBW.B6R3        0          0          2
MBW.C6R3        0          0          2
MBW.D6R3        180        0          2
MBW.E6R3        180        0          2
MBW.F6R3        180        0          2
MQTLH.A6R3      0          0          2
MQTLH.B6R3      0          0          2
MQTLH.C6R3      0          0          2
MQTLH.D6R3      0          0          2
MQTLH.E6R3      0          0          2
MQTLH.F6R3      0          0          2
MQTLI.7R3       180        0          2
MQTLI.8R3       180        0          2
MQTLI.A9R3      180        0          2
MQTLI.B9R3      180        0          2
MQTLI.10R3      180        0          2
MQTLI.11R3      180        0          2
MCBH.11R3       180        0          2
MCBV.11R3       180        0          2
MS.11R3         0          0          2
MQT.12R3        0          0          2
MS.12R3         0          0          2
MQT.13R3        0          0          2
MS.13R3         0          0          2
MQT.14R3        0          0          2
MS.14R3         0          0          2
MQT.15R3        0          0          2
MS.15R3         0          0          2
MQT.16R3        0          0          2
MS.16R3         0          0          2
MQT.17R3        0          0          2
MS.17R3         0          0          2
MQT.18R3        0          0          2
MS.18R3         0          0          2
MQT.19R3        0          0          2
MS.19R3         0          0          2
MQT.20R3        0          0          2
MS.20R3         0          0          2
MQT.21R3        0          0          2
MS.21R3         0          0          2
MO.22R3         0          0          2
MS.22R3         0          0          2
MQS.23R3        0          0          2
MS.23R3         0          0          2
MO.24R3         0          0          2
MS.24R3         0          0          2
MO.25R3         0          0          2
MS.25R3         0          0          2
MO.26R3         0          0          2
MS.26R3         0          0          2
MQS.27R3        0          0          2
MS.27R3         0          0          2
MO.28R3         0          0          2
MS.28R3         0          0          2
MO.29R3         0          0          2
MSS.29R3        0          0          2
MO.30R3         0          0          2
MS.30R3         0          0          2
MO.31R3         0          0          2
MS.31R3         0          0          2
MO.32R3         0          0          2
MS.32R3         0          0          2
MO.33R3         0          0          2
MSS.33R3        0          0          2
MO.34R3         0          0          2
MS.34L4         0          0          2
MO.33L4         0          0          2
MSS.33L4        0          0          2
MO.32L4         0          0          2
MS.32L4         0          0          2
MO.31L4         0          0          2
MS.31L4         0          0          2
MO.30L4         0          0          2
MS.30L4         0          0          2
MO.29L4         0          0          2
MSS.29L4        0          0          2
MO.28L4         0          0          2
MS.28L4         0          0          2
MQS.27L4        0          0          2
MS.27L4         0          0          2
MO.26L4         0          0          2
MS.26L4         0          0          2
MO.25L4         0          0          2
MS.25L4         0          0          2
MO.24L4         0          0          2
MS.24L4         0          0          2
MQS.23L4        0          0          2
MS.23L4         0          0          2
MO.22L4         0          0          2
MS.22L4         0          0          2
MQT.21L4        0          0          2
MS.21L4         0          0          2
MQT.20L4        0          0          2
MS.20L4         0          0          2
MQT.19L4        0          0          2
MS.19L4         0          0          2
MQT.18L4        0          0          2
MS.18L4         0          0          2
MQT.17L4        0          0          2
MS.17L4         0          0          2
MQT.16L4        0          0          2
MS.16L4         0          0          2
MQT.15L4        0          0          2
MS.15L4         0          0          2
MQT.14L4        0          0          2
MS.14L4         0          0          2
MQT.13L4        0          0          2
MS.13L4         0          0          2
MQT.12L4        0          0          2
MS.12L4         0          0          2
MQTLI.11L4      180        0          2
MCBH.11L4       180        0          2
MCBV.11L4       180        0          2
MS.11L4         0          0          2
MQML.10L4       0          0          2
MQMC.9L4        0          0          2
MQM.9L4         0          0          2
MQML.8L4        0          0          2
MQM.7L4         0          0          2
MQY.6L4         0          0          2
MQY.5L4         0          0          2
MBRB.5L4        0          0          2
MBRS.5L4        0          0          2
MBRS.5R4        180        0          2
MBRB.5R4        180        0          2
MQY.5R4         180        0          2
MQY.6R4         0          0          2
MQM.7R4         0          0          2
MQML.8R4        0          0          2
MQMC.9R4        0          0          2
MQM.9R4         0          0          2
MQML.10R4       0          0          2
MQTLI.11R4      180        0          2
MCBH.11R4       180        0          2
MCBV.11R4       180        0          2
MS.11R4         0          0          2
MQT.12R4        0          0          2
MS.12R4         0          0          2
MQT.13R4        0          0          2
MS.13R4         0          0          2
MQT.14R4        0          0          2
MS.14R4         0          0          2
MQT.15R4        0          0          2
MS.15R4         0          0          2
MQT.16R4        0          0          2
MS.16R4         0          0          2
MQT.17R4        0          0          2
MS.17R4         0          0          2
MQT.18R4        0          0          2
MS.18R4         0          0          2
MQT.19R4        0          0          2
MS.19R4         0          0          2
MQT.20R4        0          0          2
MS.20R4         0          0          2
MQT.21R4        0          0          2
MS.21R4         0          0          2
MO.22R4         0          0          2
MS.22R4         0          0          2
MQS.23R4        0          0          2
MS.23R4         0          0          2
MO.24R4         0          0          2
MS.24R4         0          0          2
MO.25R4         0          0          2
MS.25R4         0          0          2
MO.26R4         0          0          2
MS.26R4         0          0          2
MQS.27R4        0          0          2
MS.27R4         0          0          2
MO.28R4         0          0          2
MS.28R4         0          0          2
MO.29R4         0          0          2
MS.29R4         0          0          2
MO.30R4         0          0          2
MSS.30R4        0          0          2
MO.31R4         0          0          2
MS.31R4         0          0          2
MO.32R4         0          0          2
MS.32R4         0          0          2
MO.33R4         0          0          2
MS.33R4         0          0          2
MO.34R4         0          0          2
MSS.34L5        0          0          2
MO.33L5         0          0          2
MS.33L5         0          0          2
MO.32L5         0          0          2
MSS.32L5        0          0          2
MO.31L5         0          0          2
MS.31L5         0          0          2
MO.30L5         0          0          2
MS.30L5         0          0          2
MO.29L5         0          0          2
MS.29L5         0          0          2
MO.28L5         0          0          2
MSS.28L5        0          0          2
MQS.27L5        0          0          2
MS.27L5         0          0          2
MO.26L5         0          0          2
MS.26L5         0          0          2
MO.25L5         0          0          2
MS.25L5         0          0          2
MO.24L5         0          0          2
MS.24L5         0          0          2
MQS.23L5        0          0          2
MS.23L5         0          0          2
MO.22L5         0          0          2
MS.22L5         0          0          2
MQT.21L5        0          0          2
MS.21L5         0          0          2
MQT.20L5        0          0          2
MS.20L5         0          0          2
MQT.19L5        0          0          2
MS.19L5         0          0          2
MQT.18L5        0          0          2
MS.18L5         0          0          2
MQT.17L5        0          0          2
MS.17L5         0          0          2
MQT.16L5        0          0          2
MS.16L5         0          0          2
MQT.15L5        0          0          2
MS.15L5         0          0          2
MQT.14L5        0          0          2
MS.14L5         0          0          2
MQT.13L5        0          0          2
MS.13L5         0          0          2
MQT.12L5        0          0          2
MS.12L5         0          0          2
MQTLI.11L5      180        0          2
MCBH.11L5       180        0          2
MCBV.11L5       180        0          2
MS.11L5         0          0          2
MQML.10L5       0          0          2
MQMC.9L5        0          0          2
MQM.9L5         0          0          2
MQML.8L5        0          0          2
MQM.B7L5        0          0          2
MQM.A7L5        0          0          2
MQML.6L5        0          0          2
MQML.5L5        0          0          2
MQY.4L5         0          0          2
MBRC.4L5        0          0          2
MBXW.F4L5       0          0          0
MBXW.E4L5       0          0          0
MBXW.D4L5       0          0          0
MBXW.C4L5       0          0          0
MBXW.B4L5       0          0          0
MBXW.A4L5       0          0          0
MQXA.3L5        180        0          0
MQSX.3L5        0          0          0
MQXB.B2L5       0          0          0
MQXB.A2L5       0          0          0
MQXA.1L5        0          0          0
MQXA.1R5        180        0          0
MQXB.A2R5       180        0          0
MQXB.B2R5       180        0          0
MQSX.3R5        180        0          0
MQXA.3R5        0          0          0
MBXW.A4R5       0          0          0
MBXW.B4R5       0          0          0
MBXW.C4R5       0          0          0
MBXW.D4R5       0          0          0
MBXW.E4R5       0          0          0
MBXW.F4R5       0          0          0
MBRC.4R5        180        0          1
MQY.4R5         180        0          1
MQML.5R5        0          0          1
MQML.6R5        0          0          1
MQM.A7R5        0          0          1
MQM.B7R5        0          0          1
MQML.8R5        0          0          1
MQMC.9R5        0          0          1
MQM.9R5         0          0          1
MQML.10R5       0          0          1
MQTLI.11R5      180        0          1
MCBH.11R5       180        0          1
MCBV.11R5       180        0          1
MS.11R5         0          0          1
