@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
@ MASS             %le         0.938272013
@ CHARGE           %le                   1
@ ENERGY           %le                 450
@ PC               %le         449.9990218
@ GAMMA            %le         479.6050546
@ KBUNCH           %le                   1
@ BCURRENT         %le     0.0001891809752
@ SIGE             %le             0.00045
@ SIGT             %le                   0
@ NPART            %le            1.05e+11
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le           1093.4994
@ ALFA             %le                   0
@ ORBIT5           %le                   0
@ GAMMATR          %le                   0
@ Q1               %le         3.202277389
@ Q2               %le         2.790623302
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le          2.29771248
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         518.5915719
@ BETYMAX          %le          448.027138
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         0.982319658
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %54s "Matching an insertion of the LHC 6.4 lattice with MADX"
@ ORIGIN           %19s "MAD-X 4.00.19 Linux"
@ DATE             %08s "05/05/09"
@ TIME             %08s "11.14.24"
* NAME                                S               BETX               BETY               ALFX               ALFY                 DX                DPX                  X                 PX                  Y                 PY                MUX                MUY 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_209"                38.47123675        54.45891868        111.0889608        1.118339725       -1.796948305        1.214580943     -0.01854446864                  0                  0                  0                  0      0.06009245782        0.116520394
 "MB.A13L8.B1"              52.77123675        30.92465097        170.2663709       0.5273989924       -2.341332117       0.9858453106     -0.01344645958                  0                  0                  0                  0       0.1167393239       0.1330987681
 "DRIFT_35"                  52.9904841        30.69537607        171.2948625       0.5183372593         -2.3496786         0.98289721     -0.01344645958                  0                  0                  0                  0       0.1178719048       0.1333030915
 "MCS.A13L8.B1"              53.1004841        30.58184198        171.8122524       0.5137908388       -2.353866167       0.9814180994     -0.01344645958                  0                  0                  0                  0       0.1184433117       0.1334051416
 "DRIFT_108"                 53.9514841          29.737302        175.8461021       0.4786180767       -2.386262715       0.9699751623     -0.01344645958                  0                  0                  0                  0       0.1229351566       0.1341843578
 "BPM.12L8.B1"               53.9514841          29.737302        175.8461021       0.4786180767       -2.386262715       0.9699751623     -0.01344645958                  0                  0                  0                  0       0.1229351566       0.1341843578
 "DRIFT_50"                  54.5184841        29.20783659        178.5643627       0.4551833457       -2.407847723       0.9623510197     -0.01344645958                  0                  0                  0                  0        0.125997328       0.1346936185
 "MQT.12L8.B1"               54.8384841         28.9071668        180.1933947       0.4842630929       -2.683671793        0.957823177     -0.01485145308                  0                  0                  0                  0       0.1277499673       0.1349775656
 "DRIFT_150"                 55.1364841        28.62233846        181.7969053       0.4715366918       -2.697236242        0.953397444     -0.01485145308                  0                  0                  0                  0       0.1293988465       0.1352396094
 "MQ.12L8.B1"                58.2364841         28.3916478        183.4019839      -0.3950785849          2.1938326       0.9464466889      0.01033620888                  0                  0                  0                  0        0.146981807       0.1379046239
 "DRIFT_143"                 58.3969841        28.51951696        182.6985801      -0.4016140272        2.188745574       0.9481056505      0.01033620888                  0                  0                  0                  0       0.1478795067       0.1380441726
 "MS.12L8.B1"                58.7659841        28.82145249        181.0876015      -0.4166394368        2.177050168       0.9519197115      0.01033620888                  0                  0                  0                  0       0.1499279761       0.1383670479
 "DRIFT_47"                  58.8494841        28.89131518        180.7242551      -0.4200394956        2.174403647        0.952782785      0.01033620888                  0                  0                  0                  0       0.1503885143       0.1384405084
 "MCBV.12L8.B1"              59.4994841        29.45457041        177.9109214      -0.4465070192        2.153801983       0.9595013208      0.01033620888                  0                  0                  0                  0       0.1539350916       0.1390174408
 "DRIFT_214"                60.60173145        30.48836461         173.201384      -0.4913897233          2.1188664       0.9708943796      0.01033620888                  0                  0                  0                  0       0.1597904537       0.1400168079
 "MB.C12L8.B1"              74.90173145        52.86768474        119.0830883        -1.07358413        1.665629803        1.155153814      0.01543428558                  0                  0                  0                  0       0.2177512943       0.1558904179
 "DRIFT_239"                 75.1209788        53.34040291         118.354242       -1.082511097        1.658680787        1.158537741      0.01543428558                  0                  0                  0                  0       0.2184083958       0.1561843437
 "MCS.C12L8.B1"              75.2309788        53.57904802        117.9897158       -1.086989904        1.655194352        1.160235512      0.01543428558                  0                  0                  0                  0       0.2187358778       0.1563324928
 "DRIFT_49"                  75.9229788        55.10293967        115.7141043       -1.115165667        1.633261504        1.170916038      0.01543428558                  0                  0                  0                  0       0.2207628747       0.1572750626
 "MCDO.12L8.B1"              75.9229788        55.10293967        115.7141043       -1.115165667        1.633261504        1.170916038      0.01543428558                  0                  0                  0                  0       0.2207628747       0.1572750626
