@ NAME             %08s "APERTURE"
@ TYPE             %08s "APERTURE"
@ SEQUENCE         %07s "LHCCELL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.938
@ ENERGY           %le  450.000
@ PC               %le  449.999
@ GAMMA            %le  479.605
@ EXN              %le    0.000
@ EYN              %le    0.000
@ DQF              %le    2.086
@ BETAQFX          %le  170.250
@ PARAS_DX         %le       0.273
@ PARAS_DY         %le       0.273
@ DP_BUCKET_SIZE   %le    0.002
@ TWISS_DELTAP     %le    0.000
@ CO_RADIUS        %le    0.004
@ BETA_BEATING     %le    1.100
@ NB_OF_ANGLES     %d   20
@ HALO_PRIM        %le       6
@ HALO_R           %le       8.4
@ HALO_H           %le       7.3
@ HALO_V           %le       7.3
@ n1min            %le   4.85636
@ at_element       %05s  "MQ1:1"
@ TITLE            %37s "LHC Cell APERTURE exemple, BJ Aug2009"
@ ORIGIN           %19s "MAD-X 4.01.41 Linux"
@ DATE             %08s "02/02/11"
@ TIME             %08s "19.14.07"
* NAME                     S    BETX    BETY      DX       X       Y      N1 APERTYPE            APER_1  APER_2  APER_3  APER_4    XTOL    YTOL    RTOL 
$ %s                     %le     %le     %le     %le     %le     %le     %le %s                     %le     %le     %le     %le     %le     %le     %le 
 "MB2"                34.347  64.576  99.597   1.398   0.000   0.000   9.552 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB2"                35.369  62.143 103.056   1.378   0.000   0.000   9.380 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB2"                36.390  59.790 106.594   1.358   0.000   0.000   9.213 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_1"            37.410  57.520 110.207   1.339   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB3"                37.410  57.520 110.207   1.339   0.000   0.000   9.051 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                38.431  55.327 113.905   1.319   0.000   0.000   8.893 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                39.453  53.213 117.682   1.300   0.000   0.000   8.739 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                40.474  51.178 121.539   1.281   0.000   0.000   8.589 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                41.496  49.224 125.476   1.263   0.000   0.000   8.444 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                42.517  47.348 129.492   1.245   0.000   0.000   8.302 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                43.539  45.553 133.588   1.228   0.000   0.000   8.165 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                44.560  43.837 137.764   1.210   0.000   0.000   8.031 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                45.581  42.201 142.019   1.193   0.000   0.000   7.900 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                46.603  40.644 146.353   1.177   0.000   0.000   7.773 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                47.624  39.167 150.768   1.161   0.000   0.000   7.650 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
